Date,Timestamp,PlayerID,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish
2020-05-11,10:09:31.2890,Lilla Banan,Discrete,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-11,10:09:51.8754,Lilla Banan,Discrete,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:09:51.9393,Lilla Banan,Discrete,KeyDown,1,1,0,1,r,Correct,R,0.0704025,NA,NA,NA,NA,NA,NA,
2020-05-11,10:09:52.0703,Lilla Banan,Discrete,KeyDown,1,1,0,1,w,Correct,W,0.1297483,NA,NA,NA,NA,NA,NA,
2020-05-11,10:09:52.1443,Lilla Banan,Discrete,KeyDown,1,1,0,1,e,Correct,E,0.07511371,NA,NA,NA,NA,NA,NA,
2020-05-11,10:09:52.1453,Lilla Banan,Discrete,Sequence Success,1,1,0,1,NA,NA,NA,NA,0.2752645,NA,NA,NA,NA,NA,
2020-05-11,10:09:54.5598,Lilla Banan,Discrete,InputWindowOver,1,1,1,1,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,
2020-05-11,10:10:12.4125,Lilla Banan,Discrete,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:10:12.5304,Lilla Banan,Discrete,KeyDown,1,1,1,2,r,Correct,R,0.1194025,NA,NA,NA,NA,NA,NA,
2020-05-11,10:10:12.6714,Lilla Banan,Discrete,KeyDown,1,1,1,2,w,Correct,W,0.1407102,NA,NA,NA,NA,NA,NA,
2020-05-11,10:10:12.8315,Lilla Banan,Discrete,KeyDown,1,1,1,2,e,Correct,E,0.1585282,NA,NA,NA,NA,NA,NA,
2020-05-11,10:10:12.8315,Lilla Banan,Discrete,Sequence Success,1,1,1,2,NA,NA,NA,NA,0.4186409,NA,NA,NA,NA,NA,
2020-05-11,10:10:15.1591,Lilla Banan,Discrete,InputWindowOver,1,1,2,2,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,
2020-05-11,10:10:32.8764,Lilla Banan,Discrete,KeyDown,1,0,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:10:32.9916,Lilla Banan,Discrete,KeyDown,1,0,2,3,r,Correct,R,0.1155958,NA,NA,NA,NA,NA,NA,
2020-05-11,10:10:33.1735,Lilla Banan,Discrete,KeyDown,1,0,2,3,w,Correct,W,0.1824183,NA,NA,NA,NA,NA,NA,
2020-05-11,10:10:33.2475,Lilla Banan,Discrete,KeyDown,1,0,2,3,e,Correct,E,0.07386822,NA,NA,NA,NA,NA,NA,
2020-05-11,10:10:33.2475,Lilla Banan,Discrete,Sequence Success,1,0,2,3,NA,NA,NA,NA,0.3718823,NA,NA,NA,NA,NA,
2020-05-11,10:10:35.4015,Lilla Banan,Discrete,InputWindowOver,1,0,2,3,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,
