Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-12,11:18:04.2783,Discrete,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:18:40.0973,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:18:40.1888,Discrete,KeyDown,1,0,0,1,r,Correct,R,0,09562189,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:18:40.4167,Discrete,KeyDown,1,0,0,1,w,Correct,W,0,2278523,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:18:40.5667,Discrete,KeyDown,1,0,0,1,e,Correct,E,0,1474703,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:18:40.5667,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,4709445,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:18:42.7434,Discrete,InputWindowOver,1,0,0,1,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-12,11:19:03.2538,Discrete,KeyDown,1,0,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:19:03.3687,Discrete,KeyDown,1,0,0,2,r,Correct,R,0,1139899,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:19:03.5587,Discrete,KeyDown,1,0,0,2,w,Correct,W,0,1835575,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:19:03.7047,Discrete,KeyDown,1,0,0,2,e,Correct,E,0,153099,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:19:03.7047,Discrete,Sequence Success,1,0,0,2,NA,NA,NA,NA,0,4506464,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:19:05.7817,Discrete,InputWindowOver,1,0,1,2,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-12,11:19:34.4496,Discrete,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:19:34.5716,Discrete,KeyDown,1,0,1,3,r,Correct,R,0,1222317,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:19:34.8066,Discrete,KeyDown,1,0,1,3,w,Correct,W,0,2347236,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:19:34.9257,Discrete,KeyDown,1,0,1,3,e,Correct,E,0,1179628,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:19:34.9257,Discrete,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,4749181,NA,NA,NA,NA,NA,NA,NA,
