Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-12,11:49:54.0583,Continuous,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:15.7968,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:15.9510,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,1556232,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:16.1138,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,1651447,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:16.2262,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,1116407,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:16.2272,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,4324085,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:16.3694,Continuous,KeyDown,1,0,0,1,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:16.6257,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:16.7007,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,076076,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:16.8641,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,1625392,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:17.0401,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,176459,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:17.0401,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,4150742,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:17.5051,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:17.6034,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,1011209,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:17.7627,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,1582829,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:17.8744,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,1111156,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:17.8744,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,3705194,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:50:21.8286,Continuous,InputWindowOver,1,0,1,1,NA,NA,NA,NA,NA,3,0,0,3,Got Fish,NA,NA,
