Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-18,14:05:21.7589,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:44.0564,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:44.1304,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.07987261,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:44.2584,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.121686,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:44.3504,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.0958292,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:44.3514,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2973878,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:45.2811,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:45.3690,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.08942129,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:45.4620,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.09245569,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:45.5601,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.0970749,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:45.5601,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2789519,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:46.2867,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:46.3807,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.09438241,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:46.4497,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.06853689,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:46.5496,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.09984545,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:46.5496,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2627648,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:47.2504,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:47.3344,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.084844,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:47.4093,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.07555508,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:47.4933,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.08350809,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:47.4933,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2439072,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:48.0981,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:48.1881,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.08930111,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:48.2661,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.0794743,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:48.3490,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.0783156,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:48.3490,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.247091,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:05:50.1762,Continuous,InputWindowOver,1,0,1,1,NA,NA,NA,NA,NA,5,0,2,5,Got Fish,NA,NA,
2020-05-18,14:06:08.0691,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:08.1681,Continuous,KeyDown,1,1,1,2,r,Correct,R,0.0956612,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:08.2701,Continuous,KeyDown,1,1,1,2,w,Correct,W,0.1059455,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:08.3670,Continuous,KeyDown,1,1,1,2,e,Correct,E,0.0956731,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:08.3670,Continuous,Sequence Success,1,1,1,2,NA,NA,NA,NA,0.2972798,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:08.9385,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:09.0215,Continuous,KeyDown,1,1,1,2,r,Correct,R,0.0809292,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:09.1205,Continuous,KeyDown,1,1,1,2,w,Correct,W,0.1003001,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:09.1975,Continuous,KeyDown,1,1,1,2,e,Correct,E,0.0782693,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:09.1975,Continuous,Sequence Success,1,1,1,2,NA,NA,NA,NA,0.2594986,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:09.7283,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:09.8083,Continuous,KeyDown,1,1,1,2,r,Correct,R,0.0793691,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:09.8882,Continuous,KeyDown,1,1,1,2,w,Correct,W,0.07705471,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:09.9822,Continuous,KeyDown,1,1,1,2,e,Correct,E,0.0957256,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:09.9822,Continuous,Sequence Success,1,1,1,2,NA,NA,NA,NA,0.2521494,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:10.5650,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:10.6400,Continuous,KeyDown,1,1,1,2,r,Correct,R,0.0754096,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:10.7540,Continuous,KeyDown,1,1,1,2,w,Correct,W,0.112217,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:10.8399,Continuous,KeyDown,1,1,1,2,e,Correct,E,0.08743362,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:10.8399,Continuous,Sequence Success,1,1,1,2,NA,NA,NA,NA,0.2750602,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:11.4511,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:11.5257,Continuous,KeyDown,1,1,1,2,r,Correct,R,0.0761103,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:11.6157,Continuous,KeyDown,1,1,1,2,w,Correct,W,0.0869994,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:11.6897,Continuous,KeyDown,1,1,1,2,e,Correct,E,0.0757537,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:11.6897,Continuous,Sequence Success,1,1,1,2,NA,NA,NA,NA,0.2388634,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:12.2665,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:12.3525,Continuous,KeyDown,1,1,1,2,r,Correct,R,0.0851043,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:12.3985,Continuous,KeyDown,1,1,1,2,w,Correct,W,0.0473133,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:12.4814,Continuous,KeyDown,1,1,1,2,e,Correct,E,0.0821081,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:12.4814,Continuous,Sequence Success,1,1,1,2,NA,NA,NA,NA,0.2145257,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:13.6550,Continuous,InputWindowOver,1,1,2,2,NA,NA,NA,NA,NA,6,0,4,6,Got Fish,NA,NA,
2020-05-18,14:06:33.2391,Continuous,KeyDown,1,0,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:33.3230,Continuous,KeyDown,1,0,2,3,r,Correct,R,0.0828184,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:33.4380,Continuous,KeyDown,1,0,2,3,w,Correct,W,0.1161995,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:33.5240,Continuous,KeyDown,1,0,2,3,e,Correct,E,0.08549622,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:33.5240,Continuous,Sequence Success,1,0,2,3,NA,NA,NA,NA,0.2845141,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:34.1562,Continuous,KeyDown,1,0,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:34.2331,Continuous,KeyDown,1,0,2,3,r,Correct,R,0.07696129,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:34.3271,Continuous,KeyDown,1,0,2,3,w,Correct,W,0.09437039,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:34.4721,Continuous,KeyDown,1,0,2,3,e,Correct,E,0.1447063,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:34.4721,Continuous,Sequence Success,1,0,2,3,NA,NA,NA,NA,0.316038,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:35.0459,Continuous,KeyDown,1,0,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:35.1178,Continuous,KeyDown,1,0,2,3,r,Correct,R,0.07052,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:35.2038,Continuous,KeyDown,1,0,2,3,w,Correct,W,0.08800031,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:35.3003,Continuous,KeyDown,1,0,2,3,e,Correct,E,0.09649187,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:35.3003,Continuous,Sequence Success,1,0,2,3,NA,NA,NA,NA,0.2550122,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:35.9221,Continuous,KeyDown,1,0,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:36.0071,Continuous,KeyDown,1,0,2,3,r,Correct,R,0.08648261,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:36.0650,Continuous,KeyDown,1,0,2,3,w,Correct,W,0.05688531,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:36.1410,Continuous,KeyDown,1,0,2,3,e,Correct,E,0.07641917,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:36.1410,Continuous,Sequence Success,1,0,2,3,NA,NA,NA,NA,0.2197871,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:36.8068,Continuous,KeyDown,1,0,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:36.9018,Continuous,KeyDown,1,0,2,3,r,Correct,R,0.0961861,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:36.9438,Continuous,KeyDown,1,0,2,3,w,Correct,W,0.04196911,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:37.0347,Continuous,KeyDown,1,0,2,3,e,Correct,E,0.08995649,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:37.0347,Continuous,Sequence Success,1,0,2,3,NA,NA,NA,NA,0.2281117,NA,NA,NA,NA,NA,NA,NA,
2020-05-18,14:06:39.1539,Continuous,InputWindowOver,1,0,2,3,NA,NA,NA,NA,NA,5,0,0,5,Fish Escaped,NA,NA,
