Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration
2020-06-12,12:43:31.6487,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:53.1136,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:53.2006,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.09305351,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:53.3211,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.1198835,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:53.4250,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.1032335,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:53.4250,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.3161705,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:53.8979,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:53.9629,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.0651336,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:54.0798,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.113928,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:54.1638,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.08727872,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:54.1648,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2663403,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:54.6416,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:54.7356,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.0950035,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:54.8416,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.1058306,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:54.9275,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.0857558,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:54.9285,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2865899,NA,NA,NA,NA,NA,NA,
2020-06-12,12:43:55.8828,Discrete,InputWindowOver,1,0,0,1,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,
2020-06-12,12:44:13.3993,Discrete,KeyDown,1,0,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:13.4680,Discrete,KeyDown,1,0,0,2,r,Correct,R,0.0689969,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:13.6349,Discrete,KeyDown,1,0,0,2,w,Correct,W,0.1670226,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:13.7169,Discrete,KeyDown,1,0,0,2,e,Correct,E,0.08120471,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:13.7169,Discrete,Sequence Success,1,0,0,2,NA,NA,NA,NA,0.3172243,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:14.2247,Discrete,KeyDown,1,0,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:14.3107,Discrete,KeyDown,1,0,0,2,r,Correct,R,0.0819127,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:14.4097,Discrete,KeyDown,1,0,0,2,w,Correct,W,0.1012151,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:16.0990,Discrete,InputWindowOver,1,0,1,2,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,
2020-06-12,12:44:33.1936,Discrete,KeyDown,1,1,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:33.2886,Discrete,KeyDown,1,1,1,3,r,Correct,R,0.0956715,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:33.4315,Discrete,KeyDown,1,1,1,3,w,Correct,W,0.142233,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:33.5245,Discrete,KeyDown,1,1,1,3,e,Correct,E,0.09298025,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:33.5255,Discrete,Sequence Success,1,1,1,3,NA,NA,NA,NA,0.3308847,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:34.1103,Discrete,KeyDown,1,1,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:34.1843,Discrete,KeyDown,1,1,1,3,r,Correct,R,0.07357211,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:34.3083,Discrete,KeyDown,1,1,1,3,w,Correct,W,0.1240713,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:34.3962,Discrete,KeyDown,1,1,1,3,e,Correct,E,0.08716768,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:34.3962,Discrete,Sequence Success,1,1,1,3,NA,NA,NA,NA,0.2848111,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:34.9256,Discrete,KeyDown,1,1,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:34.9976,Discrete,KeyDown,1,1,1,3,r,Correct,R,0.0723864,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:35.1245,Discrete,KeyDown,1,1,1,3,w,Correct,W,0.1267124,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:35.1885,Discrete,KeyDown,1,1,1,3,e,Correct,E,0.06421238,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:35.1885,Discrete,Sequence Success,1,1,1,3,NA,NA,NA,NA,0.2633112,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:36.0209,Discrete,InputWindowOver,1,1,1,3,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,
2020-06-12,12:44:53.5600,Discrete,KeyDown,1,1,1,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:53.6431,Discrete,KeyDown,1,1,1,4,r,Correct,R,0.08360561,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:53.7747,Discrete,KeyDown,1,1,1,4,w,Correct,W,0.1319048,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:53.8606,Discrete,KeyDown,1,1,1,4,e,Correct,E,0.08579943,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:53.8606,Discrete,Sequence Success,1,1,1,4,NA,NA,NA,NA,0.3013099,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:54.4474,Discrete,KeyDown,1,1,1,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:54.5234,Discrete,KeyDown,1,1,1,4,r,Correct,R,0.07731681,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,12:44:54.6254,Discrete,KeyDown,1,1,1,4,w,Correct,W,0.1011171,NA,NA,NA,NA,NA,NA,NA,
