Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,PerceivedControl
12/06/2020,41:34.3,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:56.3,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:56.3,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.090096,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:56.4,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.09179261,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:56.5,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.08432037,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:56.5,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.266209,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:56.9,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:57.0,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.08432599,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:57.0,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.0800088,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:57.1,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.08644371,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:57.1,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2507785,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:57.5,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:57.6,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.0760171,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:57.7,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.09764671,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:57.8,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.08564068,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:57.8,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2593045,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:58.1,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:58.2,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.09812081,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:58.3,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.0644169,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:58.4,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.0872834,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:58.4,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2498211,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:58.7,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:58.8,Continuous,KeyDown,1,0,0,1,r,Correct,R,0.091031,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:58.9,Continuous,KeyDown,1,0,0,1,w,Correct,W,0.0454462,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:58.9,Continuous,KeyDown,1,0,0,1,e,Correct,E,0.06880429,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:58.9,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2052815,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:59.3,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:59.5,Continuous,KeyDown,1,0,0,1,w,Failed,R,0.1345697,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:59.5,Continuous,Sequence Failed,1,0,0,1,NA,NA,NA,NA,0.1345697,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:59.5,Continuous,KeyDown,1,0,0,1,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,41:59.6,Continuous,KeyDown,1,0,0,1,r,Failed,T,0.0922184,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2020,42:00.0,Continuous,KeyDown,1,0,0,1,t,Correct,T,0.3708006,NA,NA,NA,NA,NA,NA,NA,NA
