Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,PerceivedControl
2020-06-12,15:21:14.1772,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:21:35.7194,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:21:35.7864,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.0703484,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:21:35.9014,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.1154879,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:21:35.9904,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.08769439,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:21:35.9914,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.2735307,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:21:38.5177,Discrete,InputWindowOver,1,0,1,1,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-06-12,15:21:56.2578,Discrete,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:21:56.3328,Discrete,KeyDown,1,1,1,2,r,Correct,R,0.0754466,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:21:56.4537,Discrete,KeyDown,1,1,1,2,w,Correct,W,0.1209508,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:21:56.5237,Discrete,KeyDown,1,1,1,2,e,Correct,E,0.06968187,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:21:56.5237,Discrete,Sequence Success,1,1,1,2,NA,NA,NA,NA,0.2660793,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:21:58.9980,Discrete,InputWindowOver,1,1,2,2,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-06-12,15:22:16.8410,Discrete,KeyDown,1,0,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:16.9035,Discrete,KeyDown,1,0,2,3,r,Correct,R,0.0629178,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:17.0175,Discrete,KeyDown,1,0,2,3,w,Correct,W,0.1141018,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:17.1004,Discrete,KeyDown,1,0,2,3,e,Correct,E,0.08278248,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:17.1004,Discrete,Sequence Success,1,0,2,3,NA,NA,NA,NA,0.2598021,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:17.6253,Discrete,KeyDown,1,0,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:17.7093,Discrete,KeyDown,1,0,2,3,r,Correct,R,0.0859714,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:17.8022,Discrete,KeyDown,1,0,2,3,w,Correct,W,0.09240288,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:17.8972,Discrete,KeyDown,1,0,2,3,e,Correct,E,0.0951979,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:17.8972,Discrete,Sequence Success,1,0,2,3,NA,NA,NA,NA,0.2735722,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:18.4640,Discrete,KeyDown,1,0,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:18.5060,Discrete,KeyDown,1,0,2,3,r,Correct,R,0.0418193,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:18.6150,Discrete,KeyDown,1,0,2,3,w,Correct,W,0.1092964,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:18.6979,Discrete,KeyDown,1,0,2,3,e,Correct,E,0.08302911,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:18.6979,Discrete,Sequence Success,1,0,2,3,NA,NA,NA,NA,0.2341448,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:19.5972,Discrete,InputWindowOver,1,0,2,3,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,NA,
2020-06-12,15:22:36.6250,Discrete,KeyDown,1,0,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:36.7119,Discrete,KeyDown,1,0,2,4,r,Correct,R,0.08821761,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:36.8519,Discrete,KeyDown,1,0,2,4,w,Correct,W,0.1404856,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:36.9371,Discrete,KeyDown,1,0,2,4,e,Correct,E,0.08396973,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:36.9371,Discrete,Sequence Success,1,0,2,4,NA,NA,NA,NA,0.3126729,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:39.5580,Discrete,InputWindowOver,1,0,3,4,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-06-12,15:22:56.7021,Discrete,KeyDown,1,1,3,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-06-12,15:22:56.7781,Discrete,KeyDown,1,1,3,5,r,Correct,R,0.0710777,NA,NA,NA,NA,NA,NA,NA,NA,
