Date,Timestamp,Participant,ConditionOrder,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
19/05/2020,00:50.9,1,1,NA,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,01:57.2,1,1,Discrete,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,01:57.5,1,1,Discrete,KeyDown,1,1,0,1,r,Correct,R,0,267126,NA,NA,NA,NA,NA,NA,NA
19/05/2020,01:57.7,1,1,Discrete,KeyDown,1,1,0,1,w,Correct,W,0,2671943,NA,NA,NA,NA,NA,NA,NA
19/05/2020,01:57.9,1,1,Discrete,KeyDown,1,1,0,1,e,Correct,E,0,2000266,NA,NA,NA,NA,NA,NA,NA
19/05/2020,01:57.9,1,1,Discrete,Sequence Success,1,1,0,1,NA,NA,NA,NA,0,7343469,NA,NA,NA,NA,NA,NA
19/05/2020,02:00.2,1,1,Discrete,InputWindowOver,1,1,1,1,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
19/05/2020,02:22.7,1,1,Discrete,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,02:22.9,1,1,Discrete,KeyDown,1,0,1,2,r,Correct,R,0,1668112,NA,NA,NA,NA,NA,NA,NA
19/05/2020,02:23.0,1,1,Discrete,KeyDown,1,0,1,2,w,Correct,W,0,1839401,NA,NA,NA,NA,NA,NA,NA
19/05/2020,02:23.2,1,1,Discrete,KeyDown,1,0,1,2,e,Correct,E,0,1662222,NA,NA,NA,NA,NA,NA,NA
19/05/2020,02:23.2,1,1,Discrete,Sequence Success,1,0,1,2,NA,NA,NA,NA,0,5169735,NA,NA,NA,NA,NA,NA
19/05/2020,02:25.5,1,1,Discrete,InputWindowOver,1,0,1,2,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA
19/05/2020,02:47.5,1,1,Discrete,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,02:47.7,1,1,Discrete,KeyDown,1,0,1,3,r,Correct,R,0,2003641,NA,NA,NA,NA,NA,NA,NA
19/05/2020,02:47.9,1,1,Discrete,KeyDown,1,0,1,3,w,Correct,W,0,200232,NA,NA,NA,NA,NA,NA,NA
19/05/2020,02:48.1,1,1,Discrete,KeyDown,1,0,1,3,e,Correct,E,0,266732,NA,NA,NA,NA,NA,NA,NA
19/05/2020,02:48.1,1,1,Discrete,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,6673281,NA,NA,NA,NA,NA,NA
