Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,13:00:50.9073,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:01:57.2130,Discrete,KeyDown,1,1,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:01:57.4721,Discrete,KeyDown,1,1,0,1,r,Correct,R,0,267126,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:01:57.7370,Discrete,KeyDown,1,1,0,1,w,Correct,W,0,2671943,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:01:57.9375,Discrete,KeyDown,1,1,0,1,e,Correct,E,0,2000266,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:01:57.9385,Discrete,Sequence Success,1,1,0,1,NA,NA,NA,NA,0,7343469,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:02:00.1581,Discrete,InputWindowOver,1,1,1,1,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:02:22.6981,Discrete,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:02:22.8651,Discrete,KeyDown,1,0,1,2,r,Correct,R,0,1668112,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:02:23.0483,Discrete,KeyDown,1,0,1,2,w,Correct,W,0,1839401,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:02:23.2158,Discrete,KeyDown,1,0,1,2,e,Correct,E,0,1662222,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:02:23.2158,Discrete,Sequence Success,1,0,1,2,NA,NA,NA,NA,0,5169735,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:02:25.5185,Discrete,InputWindowOver,1,0,1,2,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-19,13:02:47.4591,Discrete,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:02:47.6596,Discrete,KeyDown,1,0,1,3,r,Correct,R,0,2003641,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:02:47.8585,Discrete,KeyDown,1,0,1,3,w,Correct,W,0,200232,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:02:48.1260,Discrete,KeyDown,1,0,1,3,e,Correct,E,0,266732,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:02:48.1260,Discrete,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,6673281,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:02:50.0947,Discrete,InputWindowOver,1,0,2,3,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:03:15.9230,Discrete,KeyDown,1,0,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:16.3241,Discrete,KeyDown,1,0,2,4,r,Correct,R,0,4005108,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:16.5907,Discrete,KeyDown,1,0,2,4,w,Correct,W,0,2670012,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:16.8084,Discrete,KeyDown,1,0,2,4,e,Correct,E,0,2172058,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:16.8084,Discrete,Sequence Success,1,0,2,4,NA,NA,NA,NA,0,8847179,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:18.7431,Discrete,InputWindowOver,1,0,2,4,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-19,13:03:43.2367,Discrete,KeyDown,1,0,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:43.4537,Discrete,KeyDown,1,0,2,5,r,Correct,R,0,2169303,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:43.6374,Discrete,KeyDown,1,0,2,5,w,Correct,W,0,183429,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:43.8540,Discrete,KeyDown,1,0,2,5,3,Failed,E,0,217039,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:43.8540,Discrete,Sequence Failed,1,0,2,5,NA,NA,NA,NA,0,6173983,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:43.9038,Discrete,KeyDown,1,0,2,5,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:44.4043,Discrete,KeyDown,1,0,2,5,e,Failed,T,0,5007215,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:44.6058,Discrete,KeyDown,1,0,2,5,e,Failed,T,0,2001581,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:44.6058,Discrete,Sequence Failed,1,0,2,5,NA,NA,NA,NA,0,7008796,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:44.7714,Discrete,KeyDown,1,0,2,5,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:44.9551,Discrete,KeyDown,1,0,2,5,w,Failed,T,0,1839109,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:44.9721,Discrete,KeyDown,1,0,2,5,e,Failed,T,0,01645251,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:44.9721,Discrete,Sequence Failed,1,0,2,5,NA,NA,NA,NA,0,2003634,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:45.1072,Discrete,KeyDown,1,0,2,5,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:45.2060,Discrete,KeyDown,1,0,2,5,w,Failed,T,0,100329,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:45.3058,Discrete,KeyDown,1,0,2,5,e,Failed,T,0,1000783,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:45.3058,Discrete,Sequence Failed,1,0,2,5,NA,NA,NA,NA,0,2004073,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:45.4058,Discrete,KeyDown,1,0,2,5,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:03:45.9570,Discrete,InputWindowOver,1,0,2,5,NA,NA,NA,NA,NA,0,4,0,4,Fish Escaped,NA,NA,
2020-05-19,13:04:06.9131,Discrete,KeyDown,1,1,2,6,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:07.1639,Discrete,KeyDown,1,1,2,6,w,Failed,T,0,2500424,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:07.4973,Discrete,KeyDown,1,1,2,6,e,Failed,T,0,3338962,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:07.4973,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,5839387,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:08.1644,Discrete,KeyDown,1,1,2,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:08.3642,Discrete,KeyDown,1,1,2,6,r,Correct,R,0,2002157,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:08.5313,Discrete,KeyDown,1,1,2,6,w,Correct,W,0,1670157,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:08.6651,Discrete,KeyDown,1,1,2,6,r,Failed,E,0,1331181,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:08.6651,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,5003495,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:08.7322,Discrete,KeyDown,1,1,2,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:08.8491,Discrete,KeyDown,1,1,2,6,w,Failed,R,0,1166592,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:08.8491,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,1166592,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:09.0170,Discrete,KeyDown,1,1,2,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:09.0987,Discrete,KeyDown,1,1,2,6,w,Failed,R,0,0828345,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:09.0987,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,0828345,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:09.2157,Discrete,KeyDown,1,1,2,6,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:09.2318,Discrete,KeyDown,1,1,2,6,r,Failed,T,0,016952,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:09.3658,Discrete,KeyDown,1,1,2,6,w,Failed,T,0,1333747,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:09.3658,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,1503267,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:09.4826,Discrete,KeyDown,1,1,2,6,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:09.7166,Discrete,KeyDown,1,1,2,6,e,Failed,T,0,2335177,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:09.7666,Discrete,Sequence Failed,1,1,2,6,NA,NA,NA,NA,0,2836549,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:09.7666,Discrete,InputWindowOver,1,1,2,6,NA,NA,NA,NA,NA,0,6,0,6,Fish Escaped,NA,NA,
2020-05-19,13:04:30.2055,Discrete,KeyDown,1,0,2,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:30.4394,Discrete,KeyDown,1,0,2,7,r,Correct,R,0,2335741,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:30.7389,Discrete,KeyDown,1,0,2,7,w,Correct,W,0,3001995,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:30.9725,Discrete,KeyDown,1,0,2,7,e,Correct,E,0,2335644,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:30.9735,Discrete,Sequence Success,1,0,2,7,NA,NA,NA,NA,0,767338,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:32.9084,Discrete,InputWindowOver,1,0,3,7,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:04:52.3461,Discrete,KeyDown,1,1,3,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:52.6305,Discrete,KeyDown,1,1,3,8,r,Correct,R,0,2835407,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:52.8801,Discrete,KeyDown,1,1,3,8,w,Correct,W,0,2503392,NA,NA,NA,NA,NA,NA,NA,NA,
