Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,13:12:38.9345,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:13:34.1787,Discrete,KeyDown,1,0,0,1,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:13:34.3389,Discrete,KeyDown,1,0,0,1,e,Failed,T,0,1665569,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:13:34.5557,Discrete,KeyDown,1,0,0,1,q,Failed,T,0,216719,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:13:34.5557,Discrete,Sequence Failed,1,0,0,1,NA,NA,NA,NA,0,3832759,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:13:34.7215,Discrete,KeyDown,1,0,0,1,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:13:36.8717,Discrete,InputWindowOver,1,0,0,1,NA,NA,NA,NA,NA,0,1,0,1,Fish Escaped,NA,NA,
2020-05-20,13:14:03.5536,Discrete,KeyDown,1,0,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:14:03.7706,Discrete,KeyDown,1,0,0,2,r,Correct,R,0,2165894,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:14:04.0040,Discrete,KeyDown,1,0,0,2,w,Correct,W,0,2333072,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:14:04.0707,Discrete,KeyDown,1,0,0,2,e,Correct,E,0,06670064,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:14:04.0707,Discrete,Sequence Success,1,0,0,2,NA,NA,NA,NA,0,5165972,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:14:06.1877,Discrete,InputWindowOver,1,0,1,2,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,13:14:24.6699,Discrete,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
