Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,19:27:56.5770,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:28:49.5978,Discrete,KeyDown,1,0,0,1,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:28:49.6958,Discrete,KeyDown,1,0,0,1,e,Failed,T,0,1041509,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:28:52.6410,Discrete,Sequence Failed,1,0,0,1,NA,NA,NA,NA,3,048545,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:28:52.6430,Discrete,InputWindowOver,1,0,0,1,NA,NA,NA,NA,NA,0,1,0,1,Fish Escaped,NA,NA,
2020-05-20,19:29:11.2994,Discrete,KeyDown,1,0,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:11.3684,Discrete,KeyDown,1,0,0,2,r,Correct,R,0,0694547,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:11.5976,Discrete,KeyDown,1,0,0,2,w,Correct,W,0,2290791,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:11.6886,Discrete,KeyDown,1,0,0,2,e,Correct,E,0,0902465,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:11.6886,Discrete,Sequence Success,1,0,0,2,NA,NA,NA,NA,0,3887803,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:12.0218,Discrete,KeyDown,1,0,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:12.1188,Discrete,KeyDown,1,0,0,2,r,Correct,R,0,0972313,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:12.3759,Discrete,KeyDown,1,0,0,2,w,Correct,W,0,257035,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:12.4661,Discrete,KeyDown,1,0,0,2,e,Correct,E,0,09041211,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:12.4661,Discrete,Sequence Success,1,0,0,2,NA,NA,NA,NA,0,4446784,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:12.8068,Discrete,KeyDown,1,0,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:12.8619,Discrete,KeyDown,1,0,0,2,r,Correct,R,0,0557923,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:14.2029,Discrete,InputWindowOver,1,0,1,2,NA,NA,NA,NA,NA,2,0,1,2,Got Fish,NA,NA,
2020-05-20,19:29:32.1319,Discrete,KeyDown,1,0,1,3,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:32.5909,Discrete,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:32.6739,Discrete,KeyDown,1,0,1,3,r,Correct,R,0,0833021,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:32.8332,Discrete,KeyDown,1,0,1,3,w,Correct,W,0,159679,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:32.9728,Discrete,KeyDown,1,0,1,3,e,Correct,E,0,1388586,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:32.9728,Discrete,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,3818397,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:35.0009,Discrete,InputWindowOver,1,0,2,3,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,19:29:54.4798,Discrete,KeyDown,1,1,2,4,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:54.6109,Discrete,KeyDown,1,1,2,4,e,Failed,T,0,1320574,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:54.9857,Discrete,KeyDown,1,1,2,4,t,Correct,T,0,3750434,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:55.0902,Discrete,KeyDown,1,1,2,4,r,Correct,R,0,1042733,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:55.3058,Discrete,KeyDown,1,1,2,4,w,Correct,W,0,2150312,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:55.3963,Discrete,KeyDown,1,1,2,4,e,Correct,E,0,09027052,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:55.3963,Discrete,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,9166758,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:55.9448,Discrete,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:56.0839,Discrete,KeyDown,1,1,2,4,r,Correct,R,0,1389201,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:56.2566,Discrete,KeyDown,1,1,2,4,w,Correct,W,0,1735322,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:29:56.3688,Discrete,KeyDown,1,1,2,4,e,Correct,E,0,1113912,NA,NA,NA,NA,NA,NA,NA,NA,
