Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,15:16:22.1544,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:08.9873,Continuous,KeyDown,1,0,0,1,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:09.5663,Continuous,KeyDown,1,0,0,1,w,Failed,T,0,5904186,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:10.3799,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,8123899,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:10.5585,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,1805083,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:10.7122,Continuous,KeyDown,1,0,0,1,e,Failed,W,0,1528527,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:10.7122,Continuous,Sequence Failed,1,0,0,1,NA,NA,NA,NA,1,736169,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:10.8224,Continuous,KeyDown,1,0,0,1,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:11.1907,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:11.3856,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,1945538,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:11.5169,Continuous,KeyDown,1,0,0,1,e,Failed,W,0,1319353,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:11.5169,Continuous,Sequence Failed,1,0,0,1,NA,NA,NA,NA,0,3264891,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:11.6289,Continuous,KeyDown,1,0,0,1,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:17:11.9688,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
