Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration,
19/05/2020,30:20.6,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,30:48.2,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,30:48.3,Discrete,KeyDown,1,0,0,1,r,Correct,R,0,692234,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,30:48.6,Discrete,KeyDown,1,0,0,1,w,Correct,W,0,3199047,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,30:48.7,Discrete,KeyDown,1,0,0,1,e,Correct,E,0,8322388,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,30:48.7,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,4723519,NA,NA,NA,NA,NA,NA,NA
19/05/2020,30:50.7,Discrete,InputWindowOver,1,0,1,1,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
19/05/2020,31:10.6,Discrete,KeyDown,1,0,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,31:10.7,Discrete,KeyDown,1,0,1,2,r,Correct,R,0,6961539,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:10.9,Discrete,KeyDown,1,0,1,2,w,Correct,W,0,2081809,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:11.0,Discrete,KeyDown,1,0,1,2,e,Correct,E,0,833261,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:11.0,Discrete,Sequence Success,1,0,1,2,NA,NA,NA,NA,0,3611224,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:13.2,Discrete,InputWindowOver,1,0,1,2,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
19/05/2020,31:32.2,Discrete,KeyDown,1,0,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,31:32.3,Discrete,KeyDown,1,0,1,3,r,Correct,R,0,486239,NA,NA,NA,NA,NA,NA,NA,NA
