Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,10:21:23.1010,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:27.9065,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:28.0132,Continuous,KeyDown,1,0,0,1,w,Failed,R,0,2111836,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:28.0142,Continuous,Sequence Failed,1,0,0,1,NA,NA,NA,NA,0,2111836,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:29.0121,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:29.2689,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,2501002,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:29.4634,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,2013729,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:29.6668,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,1804832,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:29.6668,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,6319563,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:30.2409,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:30.5258,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,2849165,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:30.8034,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,2776391,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:31.0189,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,2083969,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:31.0189,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,7709525,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:31.4560,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:31.7757,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,3195575,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:32.1936,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,4027133,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:32.4010,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,2222446,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:32.4010,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,9445154,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:32.8039,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:33.1092,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,3056314,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:33.3661,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,256956,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:33.6364,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,270735,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:33.6364,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,8333223,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:33.9086,Continuous,InputWindowOver,1,0,1,1,NA,NA,NA,NA,NA,4,1,0,5,Got Fish,NA,NA,
2020-05-20,10:22:58.7563,Continuous,KeyDown,1,1,1,2,r,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:59.0964,Continuous,KeyDown,1,1,1,2,w,Failed,T,0,3402137,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:59.2982,Continuous,KeyDown,1,1,1,2,e,Failed,T,0,2014019,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:59.2982,Continuous,Sequence Failed,1,1,1,2,NA,NA,NA,NA,0,5416157,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:22:59.7709,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:00.0342,Continuous,KeyDown,1,1,1,2,r,Correct,R,0,270908,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:00.5690,Continuous,KeyDown,1,1,1,2,w,Correct,W,0,5348113,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:00.7905,Continuous,KeyDown,1,1,1,2,e,Correct,E,0,2291091,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:00.7905,Continuous,Sequence Success,1,1,1,2,NA,NA,NA,NA,1,034828,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:01.1874,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:01.4850,Continuous,KeyDown,1,1,1,2,r,Correct,R,0,3055533,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:01.7910,Continuous,KeyDown,1,1,1,2,w,Correct,W,0,3056052,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:02.0483,Continuous,KeyDown,1,1,1,2,e,Correct,E,0,257005,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:02.0483,Continuous,Sequence Success,1,1,1,2,NA,NA,NA,NA,0,8681635,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:02.5350,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:02.8472,Continuous,KeyDown,1,1,1,2,r,Correct,R,0,3192865,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:03.2219,Continuous,KeyDown,1,1,1,2,w,Correct,W,0,3614212,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:03.4097,Continuous,KeyDown,1,1,1,2,e,Correct,E,0,2013436,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:03.4097,Continuous,Sequence Success,1,1,1,2,NA,NA,NA,NA,0,8820513,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:03.9362,Continuous,KeyDown,1,1,1,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:04.3262,Continuous,KeyDown,1,1,1,2,r,Correct,R,0,3890743,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:04.6379,Continuous,KeyDown,1,1,1,2,w,Correct,W,0,3125171,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:04.8469,Continuous,KeyDown,1,1,1,2,e,Correct,E,0,2084534,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:04.8469,Continuous,Sequence Success,1,1,1,2,NA,NA,NA,NA,0,9100448,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:05.0065,Continuous,InputWindowOver,1,1,2,2,NA,NA,NA,NA,NA,4,1,0,5,Got Fish,NA,NA,
2020-05-20,10:23:34.9596,Continuous,KeyDown,1,1,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:35.4245,Continuous,KeyDown,1,1,2,3,r,Correct,R,0,4650763,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:35.6958,Continuous,KeyDown,1,1,2,3,w,Correct,W,0,2710907,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:35.9172,Continuous,KeyDown,1,1,2,3,e,Correct,E,0,222499,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:35.9172,Continuous,Sequence Success,1,1,2,3,NA,NA,NA,NA,0,958666,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:36.2512,Continuous,KeyDown,1,1,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:36.5704,Continuous,KeyDown,1,1,2,3,r,Correct,R,0,3193903,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:36.8755,Continuous,KeyDown,1,1,2,3,w,Correct,W,0,305641,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:37.1049,Continuous,KeyDown,1,1,2,3,e,Correct,E,0,2223063,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:37.1049,Continuous,Sequence Success,1,1,2,3,NA,NA,NA,NA,0,8473376,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:37.4871,Continuous,KeyDown,1,1,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:37.8412,Continuous,KeyDown,1,1,2,3,r,Correct,R,0,3404514,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:38.1405,Continuous,KeyDown,1,1,2,3,w,Correct,W,0,2985303,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:38.3698,Continuous,KeyDown,1,1,2,3,e,Correct,E,0,2431762,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:38.3698,Continuous,Sequence Success,1,1,2,3,NA,NA,NA,NA,0,8821579,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:38.7596,Continuous,KeyDown,1,1,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:39.1397,Continuous,KeyDown,1,1,2,3,r,Correct,R,0,3889816,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:39.4040,Continuous,KeyDown,1,1,2,3,w,Correct,W,0,2638099,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:39.6404,Continuous,KeyDown,1,1,2,3,e,Correct,E,0,2361503,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:39.6404,Continuous,Sequence Success,1,1,2,3,NA,NA,NA,NA,0,8889418,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:40.0295,Continuous,KeyDown,1,1,2,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:40.3756,Continuous,KeyDown,1,1,2,3,r,Correct,R,0,3403195,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:40.6604,Continuous,KeyDown,1,1,2,3,w,Correct,W,0,2916927,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:40.7442,Continuous,Sequence Failed,1,1,2,3,NA,NA,NA,NA,0,7152803,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:23:40.7442,Continuous,InputWindowOver,1,1,2,3,NA,NA,NA,NA,NA,4,1,1,5,Fish Escaped,NA,NA,
2020-05-20,10:24:05.3212,Continuous,KeyDown,1,1,2,4,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:05.6833,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:06.3979,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,7155594,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:06.8843,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,486101,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:07.0718,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,1873116,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:07.0718,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,1,388972,NA,NA,NA,NA,NA,NA,NA,
