Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,11:10:41.6967,,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:11:43.7082,Discrete,InputWindowOver,1,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,Fish Escaped,NA,NA,
2020-05-20,11:12:06.5587,Discrete,KeyDown,1,0,0,2,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:12:07.2181,Discrete,KeyDown,1,0,0,2,e,Failed,T,0.6669963,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:12:09.1426,Discrete,Sequence Failed,1,0,0,2,NA,NA,NA,NA,2.591288,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:12:09.1426,Discrete,InputWindowOver,1,0,0,2,NA,NA,NA,NA,NA,0,1,0,1,Fish Escaped,NA,NA,
2020-05-20,11:12:33.9509,Discrete,KeyDown,1,0,0,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:12:34.6478,Discrete,KeyDown,1,0,0,3,r,Correct,R,0.6950984,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:12:34.9512,Discrete,KeyDown,1,0,0,3,w,Correct,W,0.3051981,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:12:35.3068,Discrete,KeyDown,1,0,0,3,e,Correct,E,0.3542026,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:12:35.3068,Discrete,Sequence Success,1,0,0,3,NA,NA,NA,NA,1.354499,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:12:36.5428,Discrete,InputWindowOver,1,0,1,3,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,11:13:02.2273,Discrete,KeyDown,1,0,1,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:13:02.5812,Discrete,KeyDown,1,0,1,4,r,Correct,R,0.3545817,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:13:02.9843,Discrete,KeyDown,1,0,1,4,w,Correct,W,0.4025777,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:13:03.3521,Discrete,KeyDown,1,0,1,4,e,Correct,E,0.3681054,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:13:03.3526,Discrete,Sequence Success,1,0,1,4,NA,NA,NA,NA,1.125265,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:13:04.9844,Discrete,InputWindowOver,1,0,1,4,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-20,11:13:28.7182,Discrete,KeyDown,1,0,1,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:13:29.0094,Discrete,KeyDown,1,0,1,5,r,Correct,R,0.2919952,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:13:29.5303,Discrete,KeyDown,1,0,1,5,w,Correct,W,0.521337,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,11:13:29.7178,Discrete,KeyDown,1,0,1,5,e,Correct,E,0.1871172,NA,NA,NA,NA,NA,NA,NA,NA,
