Tidsstempel,What is your participant number?,What condition did you play?,I felt that I had control over steadying the boat through the sequence of keystrokes.,I felt that I had control over getting the fish out of the water.
19/05/2020 13.14.21,1,Discrete,2,1
19/05/2020 13.28.11,1,Continuous,2,1
19/05/2020 15.30.06,2,Continuous,3,3
19/05/2020 15.40.11,2,Discrete,8,2
19/05/2020 16.27.44,3,Continuous,7,7
19/05/2020 16.39.17,3,Discrete,9,7
19/05/2020 17.08.05,4,Continuous,4,6
19/05/2020 17.19.09,4,Discrete,8,6
19/05/2020 18.06.05,5,Discrete,8,8
19/05/2020 18.18.45,5,Continuous,8,8
19/05/2020 18.45.56,6,Discrete,8,10
19/05/2020 18.57.42,6,Continuous,7,10
20/05/2020 10.36.17,7,Continuous,6,4
20/05/2020 10.46.44,7,Discrete,8,5
20/05/2020 11.23.04,8,Discrete,6,6
20/05/2020 11.34.43,8,Continuous,8,8
20/05/2020 12.22.32,9,Discrete,1,7
20/05/2020 12.33.28,9,Continuous,1,5
20/05/2020 13.12.21,10,Continuous,3,3
20/05/2020 13.23.55,10,Discrete,7,6
20/05/2020 14.03.46,11,Discrete,8,6
20/05/2020 14.15.33,11,Continuous,8,7
20/05/2020 16.14.21,12,Discrete,9,2
20/05/2020 16.27.15,12,Continuous,10,2
20/05/2020 18.43.10,13,Continuous,6,6
20/05/2020 18.54.31,13,Discrete,8,8
20/05/2020 19.27.31,14,Continuous,10,10
20/05/2020 19.37.48,14,Discrete,10,10
